Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore
44,7501,R0,2,1,583639,18 PINE STREET,MANHATTAN,1000447501,70,B
46,1,O4,4,1,173159,2 WALL STREET,MANHATTAN,1000460001,34,D
202,23,H9,4,2,148852,50 BOWERY,MANHATTAN,1002020023,1,D
46,9,O4,4,1,839749,14 WALL STREET,MANHATTAN,1000460009,39,D
51,1,O4,4,1,400294,101 GREENWICH STREET,MANHATTAN,1000510001,82,B
142,7501,R0,2,1,928915,99 WARREN STREET,MANHATTAN,1001427501,8,D
142,7502,R0,2,1,403019,200 CHAMBERS STREET,MANHATTAN,1001427502,7,D
51,15,W1,0,1,83362,88 TRINITY PLACE,MANHATTAN,1000510015,6,D
187,16,H1,4,1,75533,377 GREENWICH STREET,MANHATTAN,1001870016,48,D
187,7501,R0,2,1,63450,375 GREENWICH STREET,MANHATTAN,1001877501,6,D
188,7504,R0,2,1,29500,61 NORTH MOORE STREET,MANHATTAN,1001887504,0,F
217,7504,R0,2,1,114622,71 LAIGHT STREET,MANHATTAN,1002177504,3,D
188,7505,R0,2,1,94532,48 BEACH STREET,MANHATTAN,1001887505,2,D
189,30,D4,2,1,60600,20 NORTH MOORE STREET,MANHATTAN,1001890030,80,B
55,16,H2,4,1,420322,80 WEST STREET,MANHATTAN,1000550016,4,D
223,7502,R0,2,1,225029,70 VESTRY STREET,MANHATTAN,1002237502,18,D
56,1,H2,4,1,181297,140 WASHINGTON STREET,MANHATTAN,1000560001,22,D
145,7501,R0,2,1,55404,105 CHAMBERS STREET,MANHATTAN,1001457501,0,F
56,4,D5,2,1,357001,90 WEST STREET,MANHATTAN,1000560004,73,B
65,7502,R0,2,1,149223,180 BROADWAY,MANHATTAN,1000657502,57,C
231,32,O5,4,1,27336,455 BROADWAY,MANHATTAN,1002310032,69,C
231,35,O5,4,1,60000,451 BROADWAY,MANHATTAN,1002310035,26,D
231,36,O5,4,1,29000,449 BROADWAY,MANHATTAN,1002310036,93,A
68,7502,R0,2,1,126430,90 WILLIAM STREET,MANHATTAN,1000687502,5,D
150,31,O6,4,1,253033,299 BROADWAY,MANHATTAN,1001500031,81,B
233,30,O5,4,1,53200,22 HOWARD STREET,MANHATTAN,1002330030,84,B
150,38,O6,4,1,128940,291 BROADWAY,MANHATTAN,1001500038,69,C
70,7501,R0,2,1,343902,125 MAIDEN LANE,MANHATTAN,1000707501,75,B
